method,oos_cagr,oos_total,oos_maxdd,oos_sharpe,oos_sortino,oos_calmar
buy_and_hold,0.215020,28.892601,-0.354617,0.9917,1.4277,0.6063
fixed_50_200,0.144407,10.273173,-0.320937,0.8229,1.1503,0.4500
wf_anchored_calmar,0.139115,9.482992,-0.284842,0.8806,1.2139,0.4884
wf_rolling5y_calmar,0.126035,7.768238,-0.287316,0.8544,1.1732,0.4387
wf_anchored_cagr,0.154388,11.935446,-0.354617,0.8193,1.1575,0.4354
