method,oos_cagr,oos_total,oos_maxdd,oos_sharpe,oos_sortino,oos_calmar
buy_and_hold,0.144616,20.253168,-0.535526,0.7411,1.0553,0.2700
fixed_50_200,0.121598,12.882366,-0.285594,0.7716,1.0836,0.4258
wf_anchored_calmar,0.056638,3.411129,-0.162950,0.6520,0.9062,0.3476
wf_rolling5y_calmar,0.079445,5.488579,-0.319287,0.6114,0.8363,0.2488
wf_anchored_cagr,0.123230,13.306472,-0.285594,0.7769,1.0991,0.4315
