date,bh,fixed_50_200,wf_anchored_calmar,wf_rolling5y_calmar
2006-12-13,1.128997,0.974277,1.016557,1.016557
2006-12-14,1.146086,0.989024,1.031944,1.031944
2006-12-15,1.146086,0.989024,1.031944,1.031944
2006-12-18,1.142778,0.986170,1.028966,1.028966
2006-12-19,1.130099,0.975228,1.017549,1.017549
2006-12-20,1.135061,0.979510,1.022017,1.022017
2006-12-21,1.119074,0.965714,1.007622,1.007622
2006-12-22,1.112459,0.960005,1.001666,1.001666
2006-12-26,1.120728,0.967141,1.009111,1.009111
2006-12-27,1.127343,0.972850,1.015067,1.015067
2006-12-28,1.127343,0.972850,1.015067,1.015067
2006-12-29,1.121279,0.967617,1.009607,1.009607
2007-01-03,1.117971,0.964763,1.006629,1.006629
2007-01-04,1.139471,0.983316,1.025987,1.025987
2007-01-05,1.117971,0.964763,1.006629,1.006629
2007-01-08,1.122381,0.968568,1.010600,1.010600
2007-01-09,1.126240,0.971898,1.014075,1.014075
2007-01-10,1.145535,0.988549,1.031447,1.031447
2007-01-11,1.149394,0.991879,1.034922,1.034922
2007-01-12,1.152150,0.994257,1.037404,1.037404
2007-01-16,1.142778,0.986170,1.028966,1.028966
2007-01-17,1.134509,0.979034,1.021520,1.021520
2007-01-18,1.093164,0.943355,0.984293,0.984293
2007-01-19,1.103638,0.952394,0.993724,0.993724
2007-01-22,1.091510,0.941928,0.982804,0.982804
2007-01-23,1.090408,0.940977,0.981811,0.981811
2007-01-24,1.107497,0.955724,0.997198,0.997198
2007-01-25,1.102536,0.951442,0.992731,0.992731
2007-01-26,1.117420,0.964287,1.006133,1.006133
2007-01-29,1.111356,0.959054,1.000673,1.000673
2007-01-30,1.116318,0.963335,1.005140,1.005140
2007-01-31,1.117420,0.964287,1.006133,1.006133
2007-02-01,1.126792,0.972374,1.014571,1.014571
2007-02-02,1.133958,0.978559,1.021024,1.021024
2007-02-05,1.138368,0.982364,1.024995,1.024995
2007-02-06,1.133958,0.978559,1.021024,1.021024
2007-02-07,1.149394,0.991879,1.034922,1.034922
2007-02-08,1.144983,0.988073,1.034566,1.034566
2007-02-09,1.127894,0.973326,1.034727,1.034727
2007-02-12,1.114664,0.961908,1.034888,1.034888
2007-02-13,1.120728,0.967141,1.035049,1.035049
2007-02-14,1.142778,0.986170,1.035210,1.035210
2007-02-15,1.148842,0.991403,1.035371,1.035371
2007-02-16,1.148291,0.990927,1.035532,1.035532
2007-02-20,1.148291,0.990927,1.035693,1.035693
2007-02-21,1.147189,0.989976,1.035855,1.035855
2007-02-22,1.171444,1.010908,1.036016,1.036016
2007-02-23,1.178060,1.016616,1.036177,1.036177
2007-02-26,1.176406,1.015189,1.036338,1.036338
2007-02-27,1.134509,0.979034,1.036500,1.036500
2007-02-28,1.137266,0.981413,1.036661,1.036661
2007-03-01,1.128997,0.974277,1.036822,1.036822
2007-03-02,1.106395,0.954772,1.036984,1.036984
2007-03-05,1.094267,0.944307,1.037145,1.037145
2007-03-06,1.120728,0.967141,1.037307,1.037307
2007-03-07,1.115766,0.962860,1.037468,1.037468
2007-03-08,1.127343,0.972850,1.037629,1.037629
2007-03-09,1.133958,0.978559,1.037791,1.037791
2007-03-12,1.143330,0.986646,1.037952,1.037952
2007-03-13,1.119625,0.966190,1.038114,1.038114
2007-03-14,1.126792,0.972374,1.038276,1.038276
2007-03-15,1.126240,0.971898,1.038437,1.038437
2007-03-16,1.118523,0.965238,1.038599,1.038599
2007-03-19,1.113010,0.960481,1.038761,1.038761
2007-03-20,1.124035,0.969996,1.038922,1.038922
2007-03-21,1.144432,0.987597,1.039084,1.039084
2007-03-22,1.128445,0.973801,1.039246,1.039246
2007-03-23,1.135612,0.979986,1.039407,1.039407
2007-03-26,1.133407,0.978083,1.039569,1.039569
2007-03-27,1.128997,0.974277,1.039731,1.039731
2007-03-28,1.115215,0.962384,1.039893,1.039893
2007-03-29,1.104741,0.953345,1.040055,1.040055
2007-03-30,1.108049,0.956200,1.040217,1.040217
2007-04-02,1.106395,0.954772,1.040378,1.040378
2007-04-03,1.114112,0.961433,1.040540,1.040540
2007-04-04,1.123484,0.969520,1.040702,1.040702
2007-04-05,1.132304,0.977131,1.040864,1.040864
2007-04-09,1.130099,0.975228,1.041026,1.041026
2007-04-10,1.139471,0.983316,1.041188,1.041188
2007-04-11,1.127894,0.973326,1.041350,1.041350
2007-04-12,1.139471,0.983316,1.041513,1.041513
2007-04-13,1.137266,0.981413,1.041675,1.041675
2007-04-16,1.145535,0.988549,1.041837,1.041837
2007-04-17,1.144432,0.987597,1.041999,1.041999
2007-04-18,1.168137,1.008053,1.042161,1.042161
2007-04-19,1.175303,1.014238,1.042323,1.042323
2007-04-20,1.179713,1.018043,1.045711,1.045711
2007-04-23,1.170893,1.010432,1.037893,1.037893
2007-04-24,1.199559,1.035169,1.063303,1.063303
2007-04-25,1.211136,1.045159,1.073564,1.073564
2007-04-26,1.210584,1.044684,1.073076,1.073076
2007-04-27,1.192393,1.028985,1.056950,1.056950
2007-04-30,1.175303,1.014238,1.041802,1.041802
2007-05-01,1.178611,1.017092,1.044734,1.044734
2007-05-02,1.187982,1.025179,1.053041,1.053041
2007-05-03,1.195149,1.031364,1.059394,1.059394
2007-05-04,1.206174,1.040878,1.069167,1.069167
2007-05-07,1.201213,1.036597,1.064769,1.064769
2007-05-08,1.198456,1.034218,1.062326,1.062326
2007-05-09,1.220507,1.053247,1.081872,1.081872
2007-05-10,1.197905,1.033742,1.061837,1.061837
2007-05-11,1.214443,1.048014,1.076496,1.076496
2007-05-14,1.212789,1.046587,1.075030,1.075030
2007-05-15,1.196803,1.032791,1.060860,1.060860
2007-05-16,1.196803,1.032791,1.060860,1.060860
2007-05-17,1.191290,1.028034,1.055973,1.055973
2007-05-18,1.193495,1.029936,1.057928,1.057928
2007-05-21,1.194598,1.030888,1.058905,1.058905
2007-05-22,1.200110,1.035645,1.063791,1.063791
2007-05-23,1.182470,1.020422,1.048155,1.048155
2007-05-24,1.162073,1.002820,1.030075,1.030075
2007-05-25,1.168137,1.008053,1.035450,1.035450
2007-05-29,1.175303,1.014238,1.041802,1.041802
2007-05-30,1.167585,1.007578,1.034961,1.034961
2007-05-31,1.185226,1.022801,1.050598,1.050598
2007-06-01,1.196251,1.032315,1.060371,1.060371
2007-06-04,1.192944,1.029461,1.057439,1.057439
2007-06-05,1.187431,1.024703,1.052553,1.052553
2007-06-06,1.171996,1.011383,1.038870,1.038870
2007-06-07,1.150496,0.992830,1.019813,1.019813
2007-06-08,1.182470,1.020422,1.048155,1.048155
2007-06-11,1.178060,1.016616,1.044245,1.044245
2007-06-12,1.168688,1.008529,1.035938,1.035938
2007-06-13,1.187431,1.024703,1.052553,1.052553
2007-06-14,1.202867,1.038024,1.066235,1.066235
2007-06-15,1.223264,1.055625,1.084315,1.084315
2007-06-18,1.222712,1.055150,1.083826,1.083826
2007-06-19,1.212789,1.046587,1.075030,1.075030
2007-06-20,1.204520,1.039451,1.067701,1.067701
2007-06-21,1.240353,1.070373,1.099463,1.099463
2007-06-22,1.225469,1.057528,1.086269,1.086269
2007-06-25,1.210033,1.044208,1.072587,1.072587
