method,oos_cagr,oos_total,oos_maxdd,oos_sharpe,oos_sortino,oos_calmar
buy_and_hold,0.189497,31.371555,-0.670334,0.7206,1.0374,0.2827
fixed_50_200,0.185086,29.140524,-0.342525,0.8557,1.2330,0.5404
wf_anchored_calmar,0.173442,23.952033,-0.342525,0.8145,1.1674,0.5064
wf_rolling5y_calmar,0.111777,8.199807,-0.378587,0.6145,0.8691,0.2952
wf_anchored_cagr,0.173442,23.952033,-0.342525,0.8145,1.1674,0.5064
