method,oos_cagr,oos_total,oos_maxdd,oos_sharpe,oos_sortino,oos_calmar
buy_and_hold,0.144161,20.089552,-0.535526,0.7392,1.0526,0.2692
fixed_either_on,0.148674,21.930791,-0.316052,0.8444,1.1989,0.4704
fixed_avg,0.131890,15.799469,-0.250610,0.9124,1.2821,0.5263
wf_adaptive_calmar,0.130036,15.233087,-0.285594,0.8182,1.1427,0.4553
wf_adaptive_cagr,0.144077,20.056780,-0.316052,0.8256,1.1706,0.4559
