"Date","Open","High","Low","Close","Volume","Result CCI (40)","MA ma (50,C,ma,0)-2","MA ma (2,C,ma,0)","MA ma (200,C,ma,0)","MACD macd (12,26,9)","Signal macd (12,26,9)","macd (12,26,9)_hist","+DI ADX (14,14,y,n)","-DI ADX (14,14,y,n)","ADX ADX (14,14,y,n)"
"2025-08-05T04:00:00.000Z","565.39","566.56","559.73","560.27","48,666,640","68.66","544.86","562.19","511.52","5.36","7.10","-1.73","29.21","20.82","24.63"
"2025-08-06T04:00:00.000Z","561.11","567.76","560.63","567.32","41,823,677","83.83","546.02","563.80","511.90","5.38","6.75","-1.37","28.14","19.13","24.24"
"2025-08-07T04:00:00.000Z","571.67","573.32","565.11","569.24","44,462,972","104.48","546.98","568.28","512.29","5.49","6.50","-1.01","31.59","17.47","24.56"
"2025-08-08T04:00:00.000Z","570.45","574.77","570.15","574.55","35,255,472","124.38","548.09","571.90","512.69","5.94","6.39","-0.4487","31.27","16.43","25.03"
"2025-08-11T04:00:00.000Z","574.69","576.80","571.57","572.85","33,112,917","124.41","549.15","573.70","513.08","6.09","6.33","-0.2416","31.70","15.49","25.69"
"2025-08-12T04:00:00.000Z","575.16","580.35","572.49","580.05","42,271,441","145.54","550.37","576.45","513.50","6.71","6.40","0.3026","32.84","14.18","26.69"
"2025-08-13T04:00:00.000Z","582.76","583.32","578.94","580.34","41,209,294","158.65","551.51","580.20","513.96","7.14","6.55","0.5880","34.53","13.49","27.92"
"2025-08-14T04:00:00.000Z","578.28","581.88","577.91","579.89","45,425,043","146.19","552.56","580.12","514.40","7.36","6.71","0.6476","32.97","14.05","28.80"
"2025-08-15T04:00:00.000Z","579.80","579.84","575.57","577.34","49,480,161","126.46","553.54","578.62","514.81","7.25","6.82","0.4271","31.32","16.06","29.04"
"2025-08-18T04:00:00.000Z","576.44","577.76","575.24","577.11","29,830,957","117.59","554.58","577.23","515.22","7.06","6.87","0.1896","30.36","15.97","29.18"
"2025-08-19T04:00:00.000Z","576.39","576.56","568.25","569.28","53,752,635","76.87","555.37","573.20","515.56","6.20","6.73","-0.5315","27.22","22.49","27.78"
"2025-08-20T04:00:00.000Z","568.33","568.45","558.84","565.90","76,781,087","19.87","556.07","567.59","515.91","5.19","6.43","-1.23","24.06","30.36","26.62"
"2025-08-21T04:00:00.000Z","564.35","566.49","560.98","563.28","46,436,899","9.23","556.66","564.59","516.31","4.14","5.97","-1.83","22.56","28.47","25.55"
"2025-08-22T04:00:00.000Z","564.67","573.99","563.27","571.97","51,502,129","59.58","557.45","567.63","516.73","3.95","5.57","-1.61","28.01","25.20","24.10"
"2025-08-25T04:00:00.000Z","570.40","573.29","569.16","570.32","34,044,749","66.92","558.18","571.15","517.15","3.63","5.18","-1.55","26.74","24.06","22.75"
"2025-08-26T04:00:00.000Z","569.83","572.92","568.80","572.61","34,103,014","68.38","559.09","571.47","517.55","3.52","4.85","-1.33","25.49","23.34","21.44"
"2025-08-27T04:00:00.000Z","571.59","574.40","570.37","573.49","36,927,144","77.18","559.88","573.05","517.89","3.47","4.57","-1.11","26.02","22.25","20.47"
"2025-08-28T04:00:00.000Z","574.11","578.00","572.46","577.08","46,787,857","102.46","560.84","575.29","518.21","3.67","4.39","-0.7218","28.54","20.81","20.13"
"2025-08-29T04:00:00.000Z","574.65","575.03","568.54","570.40","56,030,409","54.44","561.66","573.74","518.49","3.25","4.16","-0.9099","25.77","23.24","19.06"
"2025-09-02T04:00:00.000Z","561.31","565.97","559.53","565.62","65,876,765","-26.57","562.44","568.01","518.75","2.51","3.83","-1.32","22.74","30.25","18.71"
"2025-09-03T04:00:00.000Z","569.23","571.70","566.73","570.07","54,230,213","31.35","563.21","567.85","519.04","2.25","3.52","-1.26","27.47","28.25","17.47"
"2025-09-04T04:00:00.000Z","570.74","575.60","569.02","575.23","47,526,280","69.72","563.92","572.65","519.35","2.44","3.30","-0.8630","29.75","26.23","16.67"
"2025-09-05T04:00:00.000Z","580.49","581.12","571.53","576.06","68,342,532","99.06","564.62","575.65","519.69","2.62","3.16","-0.5437","32.56","23.58","16.62"
"2025-09-08T04:00:00.000Z","578.37","580.84","577.77","578.87","46,371,354","127.55","565.27","577.47","520.10","2.96","3.12","-0.1646","30.88","22.37","16.58"
"2025-09-09T04:00:00.000Z","579.67","580.94","577.04","580.51","44,007,592","125.87","565.92","579.69","520.50","3.32","3.16","0.1579","29.55","22.21","16.41"
"2025-09-10T04:00:00.000Z","583.74","583.77","578.55","580.70","49,307,959","136.58","566.50","580.61","520.89","3.58","3.25","0.3350","31.00","20.91","16.62"
"2025-09-11T04:00:00.000Z","583.24","584.88","581.62","584.08","44,745,766","157.17","567.24","582.39","521.29","4.01","3.40","0.6145","30.78","19.90","16.97"
"2025-09-12T04:00:00.000Z","585.04","587.86","584.10","586.66","50,745,886","176.05","567.96","585.37","521.70","4.51","3.62","0.8912","32.93","19.01","17.67"
"2025-09-15T04:00:00.000Z","588.44","591.79","588.29","591.68","44,360,315","207.80","568.67","589.17","522.13","5.25","3.95","1.31","35.62","17.85","18.78"
"2025-09-16T04:00:00.000Z","592.61","592.86","590.49","591.18","36,942,130","197.94","569.45","591.43","522.56","5.73","4.31","1.43","35.90","17.32","19.93"
"2025-09-17T04:00:00.000Z","591.10","591.75","584.37","590.00","69,384,820","157.83","570.20","590.59","522.96","5.95","4.64","1.32","32.65","23.25","19.71"
"2025-09-18T04:00:00.000Z","594.91","598.14","592.96","595.32","61,069,294","204.98","570.98","592.66","523.41","6.48","5.00","1.47","37.10","21.00","20.28"
"2025-09-19T04:00:00.000Z","597.33","600.05","595.85","599.35","58,196,109","209.39","571.86","597.34","523.86","7.14","5.43","1.71","37.29","19.80","21.02"
"2025-09-22T04:00:00.000Z","597.74","602.87","597.72","602.20","57,154,769","209.01","572.82","600.78","524.29","7.80","5.90","1.90","38.38","18.55","22.01"
"2025-09-23T04:00:00.000Z","602.37","602.57","596.98","598.20","64,635,486","178.64","573.66","600.20","524.70","7.91","6.31","1.61","35.76","18.19","22.76"
"2025-09-24T04:00:00.000Z","599.58","599.90","593.36","596.10","49,850,301","145.03","574.45","597.15","525.06","7.74","6.59","1.15","32.92","21.14","22.69"
"2025-09-25T04:00:00.000Z","592.20","595.12","588.50","593.53","70,920,209","107.68","575.17","594.82","525.42","7.32","6.74","0.5778","29.94","25.01","21.71"
"2025-09-26T04:00:00.000Z","594.35","596.30","591.06","595.97","54,337,416","114.42","575.86","594.75","525.77","7.09","6.81","0.2839","29.48","23.44","20.98"
"2025-09-29T04:00:00.000Z","599.11","602.05","597.41","598.73","48,332,934","140.39","576.61","597.35","526.15","7.06","6.86","0.1988","34.22","21.73","21.07"
"2025-09-30T04:00:00.000Z","598.43","600.71","596.10","600.37","46,533,814","128.79","577.33","599.55","526.55","7.08","6.90","0.1772","32.30","22.10","20.91"
"2025-10-01T04:00:00.000Z","597.17","603.79","596.34","603.25","46,899,612","132.97","578.17","601.81","526.92","7.25","6.97","0.2752","33.11","20.14","21.15"
"2025-10-02T04:00:00.000Z","607.06","607.16","602.93","605.73","43,765,410","147.90","579.01","604.49","527.31","7.49","7.08","0.4170","35.51","19.10","21.79"
"2025-10-03T04:00:00.000Z","606.51","607.33","601.38","603.18","46,482,098","129.59","579.77","604.46","527.67","7.40","7.14","0.2567","32.94","19.60","22.05"
"2025-10-06T04:00:00.000Z","608.45","609.36","605.97","607.71","41,962,115","141.03","580.60","605.45","528.02","7.60","7.23","0.3668","32.94","18.13","22.54"
"2025-10-07T04:00:00.000Z","609.02","609.71","603.03","604.51","58,209,463","120.84","581.33","606.11","528.37","7.41","7.27","0.1464","30.29","20.21","22.36"
"2025-10-08T04:00:00.000Z","605.41","611.75","605.26","611.44","50,629,754","132.17","582.21","607.98","528.84","7.74","7.36","0.3766","30.11","18.47","22.47"
"2025-10-09T04:00:00.000Z","611.48","611.61","607.48","610.70","45,550,958","125.49","583.06","611.07","529.32","7.85","7.46","0.3868","28.60","17.55","22.58"
"2025-10-10T04:00:00.000Z","611.40","613.18","589.05","589.50","97,614,783","55.62","583.55","600.10","529.68","6.15","7.20","-1.05","21.75","31.64","22.29"
"2025-10-13T04:00:00.000Z","599.68","602.95","597.23","602.01","65,872,584","70.31","584.52","595.76","530.07","5.75","6.91","-1.16","19.02","27.66","22.02"
"2025-10-14T04:00:00.000Z","595.31","602.69","590.13","598.00","69,203,187","48.25","585.19","600.01","530.41","5.05","6.54","-1.49","16.89","30.90","22.54"
"2025-10-15T04:00:00.000Z","604.01","606.70","595.93","602.22","62,805,456","69.68","586.03","600.11","530.78","4.78","6.18","-1.41","18.80","28.00","22.34"
"2025-10-16T04:00:00.000Z","605.11","608.31","595.50","599.99","70,981,963","65.18","586.69","601.11","531.16","4.33","5.81","-1.48","18.13","24.99","21.88"
"2025-10-17T04:00:00.000Z","597.95","605.51","596.37","603.93","72,024,872","66.45","587.38","601.96","531.61","4.25","5.50","-1.25","16.75","23.09","21.45"
"2025-10-20T04:00:00.000Z","607.14","612.80","607.07","611.54","45,761,697","111.71","588.12","607.74","532.11","4.75","5.35","-0.6042","21.57","21.39","19.95"
"2025-10-21T04:00:00.000Z","611.64","612.72","609.32","611.38","44,538,161","111.97","588.89","611.46","532.61","5.07","5.29","-0.2272","20.94","20.75","18.56"
"2025-10-22T04:00:00.000Z","610.82","611.41","599.74","605.49","61,478,802","76.00","589.40","608.44","533.05","4.79","5.19","-0.4032","18.87","26.79","18.47"
