date,close
1920-01-02,101.9643
1920-01-05,101.9643
1920-01-06,101.9643
1920-01-07,101.9643
1920-01-08,101.9643
1920-01-09,101.9643
1920-01-12,101.9643
1920-01-13,101.9643
1920-01-14,101.9643
1920-01-15,101.9643
1920-01-16,101.9357
1920-01-19,101.8500
1920-01-20,101.8215
1920-01-21,101.7929
1920-01-22,101.7643
1920-01-23,101.7358
1920-01-26,101.6501
1920-01-27,101.6215
1920-01-28,101.5930
1920-01-29,101.5644
1920-01-30,101.5358
1920-02-02,101.4501
1920-02-03,101.4216
1920-02-04,101.3930
1920-02-05,101.3644
1920-02-06,101.3359
1920-02-09,101.2502
1920-02-10,101.2216
1920-02-11,101.1930
1920-02-12,101.1645
1920-02-13,101.1359
1920-02-16,101.0744
1920-02-17,101.0701
1920-02-18,101.0657
1920-02-19,101.0613
1920-02-20,101.0570
1920-02-23,101.0439
1920-02-24,101.0395
1920-02-25,101.0352
1920-02-26,101.0308
1920-02-27,101.0264
1920-03-01,101.0134
1920-03-02,101.0090
1920-03-03,101.0046
1920-03-04,101.0003
1920-03-05,100.9959
1920-03-08,100.9828
1920-03-09,100.9785
1920-03-10,100.9741
1920-03-11,100.9697
1920-03-12,100.9654
1920-03-15,100.9523
1920-03-16,100.9523
1920-03-17,100.9523
1920-03-18,100.9523
1920-03-19,100.9523
1920-03-22,100.9523
1920-03-23,100.9523
1920-03-24,100.9523
1920-03-25,100.9523
1920-03-26,100.9523
1920-03-29,100.9523
1920-03-30,100.9523
1920-03-31,100.9523
1920-04-01,100.9523
1920-04-02,100.9523
1920-04-05,100.9523
1920-04-06,100.9523
1920-04-07,100.9523
1920-04-08,100.9523
1920-04-09,100.9523
1920-04-12,100.9523
1920-04-13,100.9523
1920-04-14,100.9523
1920-04-15,100.9523
1920-04-16,100.8511
1920-04-19,100.5475
1920-04-20,100.4463
1920-04-21,100.3451
1920-04-22,100.2439
1920-04-23,100.1427
1920-04-26,99.8391
1920-04-27,99.7379
1920-04-28,99.6367
1920-04-29,99.5355
1920-04-30,99.4343
1920-05-03,99.1307
1920-05-04,99.0295
1920-05-05,98.9283
1920-05-06,98.8271
1920-05-07,98.7259
1920-05-10,98.4223
1920-05-11,98.3211
1920-05-12,98.2199
1920-05-13,98.1187
1920-05-14,98.0175
1920-05-17,97.6469
1920-05-18,97.5123
1920-05-19,97.3776
1920-05-20,97.2430
1920-05-21,97.1083
1920-05-24,96.7043
1920-05-25,96.5696
1920-05-26,96.4350
1920-05-27,96.3003
1920-05-28,96.1657
1920-05-31,95.7617
1920-06-01,95.6270
1920-06-02,95.4923
1920-06-03,95.3577
1920-06-04,95.2230
1920-06-07,94.8190
1920-06-08,94.6844
1920-06-09,94.5497
1920-06-10,94.4150
1920-06-11,94.2804
1920-06-14,93.8764
1920-06-15,93.7417
1920-06-16,93.6743
1920-06-17,93.6068
1920-06-18,93.5393
1920-06-21,93.3369
1920-06-22,93.2695
1920-06-23,93.2020
1920-06-24,93.1345
1920-06-25,93.0671
1920-06-28,92.8647
1920-06-29,92.7972
1920-06-30,92.7297
1920-07-01,92.6623
1920-07-02,92.5948
1920-07-05,92.3924
1920-07-06,92.3249
1920-07-07,92.2575
1920-07-08,92.1900
1920-07-09,92.1225
1920-07-12,91.9201
1920-07-13,91.8527
1920-07-14,91.7852
1920-07-15,91.7177
1920-07-16,91.6443
1920-07-19,91.4239
1920-07-20,91.3505
1920-07-21,91.2770
1920-07-22,91.2036
1920-07-23,91.1301
1920-07-26,90.9097
1920-07-27,90.8363
1920-07-28,90.7628
1920-07-29,90.6894
1920-07-30,90.6159
1920-08-02,90.3956
1920-08-03,90.3221
1920-08-04,90.2487
1920-08-05,90.1752
1920-08-06,90.1018
1920-08-09,89.8814
1920-08-10,89.8080
1920-08-11,89.7345
1920-08-12,89.6611
1920-08-13,89.5876
1920-08-16,89.3917
1920-08-17,89.3428
1920-08-18,89.2938
1920-08-19,89.2448
1920-08-20,89.1959
1920-08-23,89.0490
1920-08-24,89.0000
1920-08-25,88.9510
1920-08-26,88.9021
1920-08-27,88.8531
1920-08-30,88.7062
1920-08-31,88.6572
1920-09-01,88.6082
1920-09-02,88.5593
1920-09-03,88.5103
1920-09-06,88.3634
1920-09-07,88.3144
1920-09-08,88.2655
1920-09-09,88.2165
1920-09-10,88.1675
1920-09-13,88.0206
1920-09-14,87.9717
1920-09-15,87.9227
1920-09-16,87.8384
1920-09-17,87.7540
1920-09-20,87.5010
1920-09-21,87.4167
1920-09-22,87.3324
1920-09-23,87.2480
1920-09-24,87.1637
1920-09-27,86.9107
1920-09-28,86.8263
1920-09-29,86.7420
1920-09-30,86.6577
1920-10-01,86.5733
1920-10-04,86.3203
1920-10-05,86.2360
1920-10-06,86.1517
1920-10-07,86.0673
1920-10-08,85.9830
1920-10-11,85.7300
1920-10-12,85.6457
1920-10-13,85.5613
1920-10-14,85.4770
1920-10-15,85.3927
1920-10-18,85.1111
1920-10-19,85.0172
1920-10-20,84.9234
1920-10-21,84.8295
1920-10-22,84.7357
1920-10-25,84.4541
1920-10-26,84.3603
1920-10-27,84.2664
1920-10-28,84.1725
1920-10-29,84.0787
1920-11-01,83.7971
1920-11-02,83.7033
1920-11-03,83.6094
1920-11-04,83.5156
1920-11-05,83.4217
1920-11-08,83.1401
1920-11-09,83.0463
1920-11-10,82.9524
1920-11-11,82.8586
1920-11-12,82.7647
1920-11-15,82.4831
1920-11-16,82.3693
1920-11-17,82.2554
1920-11-18,82.1416
1920-11-19,82.0277
1920-11-22,81.6862
1920-11-23,81.5723
1920-11-24,81.4585
1920-11-25,81.3446
1920-11-26,81.2308
1920-11-29,80.8892
1920-11-30,80.7754
1920-12-01,80.6615
1920-12-02,80.5477
1920-12-03,80.4338
1920-12-06,80.0923
1920-12-07,79.9784
1920-12-08,79.8646
1920-12-09,79.7507
1920-12-10,79.6369
1920-12-13,79.2953
1920-12-14,79.1815
1920-12-15,79.0676
1920-12-16,79.0309
1920-12-17,78.9942
1920-12-20,78.8840
1920-12-21,78.8473
1920-12-22,78.8105
1920-12-23,78.7738
1920-12-24,78.7371
1920-12-27,78.6269
1920-12-28,78.5902
1920-12-29,78.5535
1920-12-30,78.5167
1920-12-31,78.4800
1921-01-03,78.3698
1921-01-04,78.3331
1921-01-05,78.2964
1921-01-06,78.2596
1921-01-07,78.2229
1921-01-10,78.1127
1921-01-11,78.0760
1921-01-12,78.0393
1921-01-13,78.0026
1921-01-14,77.9658
1921-01-17,77.9781
1921-01-18,78.0026
1921-01-19,78.0271
1921-01-20,78.0515
1921-01-21,78.0760
1921-01-24,78.1495
1921-01-25,78.1740
1921-01-26,78.1984
1921-01-27,78.2229
1921-01-28,78.2474
1921-01-31,78.3209
1921-02-01,78.3453
1921-02-02,78.3698
1921-02-03,78.3943
1921-02-04,78.4188
1921-02-07,78.4922
1921-02-08,78.5167
1921-02-09,78.5412
1921-02-10,78.5657
1921-02-11,78.5902
1921-02-14,78.6636
1921-02-15,78.6881
1921-02-16,78.7378
1921-02-17,78.7875
1921-02-18,78.8372
1921-02-21,78.9863
1921-02-22,79.0360
1921-02-23,79.0857
1921-02-24,79.1354
1921-02-25,79.1851
1921-02-28,79.3342
1921-03-01,79.3839
1921-03-02,79.4336
1921-03-03,79.4833
1921-03-04,79.5330
1921-03-07,79.6821
1921-03-08,79.7318
1921-03-09,79.7814
1921-03-10,79.8311
1921-03-11,79.8808
1921-03-14,80.0299
1921-03-15,80.0796
1921-03-16,80.0919
1921-03-17,80.1041
1921-03-18,80.1164
1921-03-21,80.1531
1921-03-22,80.1653
1921-03-23,80.1776
1921-03-24,80.1898
1921-03-25,80.2021
1921-03-28,80.2388
1921-03-29,80.2510
1921-03-30,80.2633
1921-03-31,80.2755
1921-04-01,80.2877
1921-04-04,80.3245
1921-04-05,80.3367
1921-04-06,80.3490
1921-04-07,80.3612
1921-04-08,80.3734
1921-04-11,80.4102
1921-04-12,80.4224
1921-04-13,80.4346
1921-04-14,80.4469
1921-04-15,80.4591
1921-04-18,80.1935
1921-04-19,80.1049
1921-04-20,80.0164
1921-04-21,79.9278
1921-04-22,79.8393
1921-04-25,79.5736
1921-04-26,79.4851
1921-04-27,79.3965
1921-04-28,79.3080
1921-04-29,79.2194
1921-05-02,78.9538
1921-05-03,78.8652
1921-05-04,78.7767
1921-05-05,78.6881
1921-05-06,78.5996
1921-05-09,78.3339
1921-05-10,78.2454
1921-05-11,78.1568
1921-05-12,78.0683
1921-05-13,77.9797
1921-05-16,77.7047
1921-05-17,77.6067
1921-05-18,77.5088
1921-05-19,77.4109
1921-05-20,77.3129
1921-05-23,77.0191
1921-05-24,76.9212
1921-05-25,76.8233
1921-05-26,76.7253
1921-05-27,76.6274
1921-05-30,76.3336
1921-05-31,76.2356
1921-06-01,76.1377
1921-06-02,76.0398
1921-06-03,75.9418
1921-06-06,75.6480
1921-06-07,75.5501
1921-06-08,75.4521
1921-06-09,75.3542
1921-06-10,75.2563
1921-06-13,74.9625
1921-06-14,74.8645
1921-06-15,74.7666
1921-06-16,74.6907
1921-06-17,74.6148
1921-06-20,74.3871
1921-06-21,74.3112
1921-06-22,74.2353
1921-06-23,74.1594
1921-06-24,74.0835
1921-06-27,73.8558
1921-06-28,73.7799
1921-06-29,73.7040
1921-06-30,73.6281
1921-07-01,73.5522
1921-07-04,73.3245
1921-07-05,73.2486
1921-07-06,73.1727
1921-07-07,73.0968
1921-07-08,73.0209
1921-07-11,72.7932
1921-07-12,72.7173
1921-07-13,72.6414
1921-07-14,72.5655
1921-07-15,72.4896
1921-07-18,72.4528
1921-07-19,72.4406
1921-07-20,72.4284
1921-07-21,72.4161
1921-07-22,72.4039
1921-07-25,72.3672
1921-07-26,72.3549
1921-07-27,72.3427
1921-07-28,72.3304
1921-07-29,72.3182
1921-08-01,72.2815
1921-08-02,72.2692
1921-08-03,72.2570
1921-08-04,72.2447
1921-08-05,72.2325
1921-08-08,72.1958
1921-08-09,72.1835
1921-08-10,72.1713
1921-08-11,72.1590
1921-08-12,72.1468
1921-08-15,72.1101
1921-08-16,72.1550
1921-08-17,72.1998
1921-08-18,72.2447
1921-08-19,72.2896
1921-08-22,72.4243
1921-08-23,72.4692
1921-08-24,72.5141
1921-08-25,72.5589
1921-08-26,72.6038
1921-08-29,72.7385
1921-08-30,72.7834
1921-08-31,72.8283
1921-09-01,72.8732
1921-09-02,72.9180
1921-09-05,73.0527
1921-09-06,73.0976
1921-09-07,73.1425
1921-09-08,73.1874
1921-09-09,73.2323
1921-09-12,73.3669
1921-09-13,73.4118
1921-09-14,73.4567
1921-09-15,73.5016
1921-09-16,73.6323
1921-09-19,74.0245
1921-09-20,74.1552
1921-09-21,74.2859
1921-09-22,74.4166
1921-09-23,74.5473
1921-09-26,74.9395
1921-09-27,75.0702
1921-09-28,75.2009
1921-09-29,75.3316
1921-09-30,75.4623
1921-10-03,75.8545
1921-10-04,75.9852
1921-10-05,76.1159
1921-10-06,76.2467
1921-10-07,76.3774
1921-10-10,76.7695
1921-10-11,76.9002
1921-10-12,77.0310
1921-10-13,77.1617
1921-10-14,77.2924
1921-10-17,77.5945
1921-10-18,77.6802
1921-10-19,77.7659
1921-10-20,77.8516
1921-10-21,77.9373
1921-10-24,78.1944
1921-10-25,78.2801
1921-10-26,78.3657
