"Date","Value"
"05/29/1936",152.64
"06/30/1936",157.69
"07/31/1936",164.86
"08/31/1936",166.29
"09/30/1936",167.82
"10/31/1936",177.19
"11/30/1936",183.22
"12/31/1936",179.9
"01/30/1937",185.74
"02/27/1937",187.3
"03/31/1937",186.41
"04/30/1937",174.27
"05/28/1937",174.71
"06/30/1937",169.32
"07/31/1937",185.61
"08/31/1937",177.41
"09/30/1937",154.57
"10/30/1937",138.17
"11/30/1937",123.48
"12/31/1937",120.85
"01/31/1938",121.87
"02/28/1938",129.64
"03/31/1938",98.95
"04/30/1938",111.28
"05/31/1938",107.74
"06/30/1938",133.88
"07/30/1938",141.25
"08/31/1938",139.27
"09/30/1938",141.45
"10/31/1938",151.73
"11/30/1938",149.82
"12/31/1938",154.76
"01/31/1939",143.76
"02/28/1939",147.3
"03/31/1939",131.84
"04/29/1939",128.45
"05/31/1939",138.18
"06/30/1939",130.63
"07/31/1939",143.26
"08/31/1939",134.41
"09/30/1939",152.54
"10/31/1939",151.88
"11/30/1939",145.69
"12/30/1939",150.24
"01/31/1940",145.33
"02/29/1940",146.54
"03/30/1940",147.95
"04/30/1940",148.43
"05/31/1940",116.22
"06/29/1940",121.87
"07/31/1940",126.14
"08/31/1940",129.42
"09/30/1940",132.64
"10/31/1940",134.61
"11/30/1940",131
"12/31/1940",131.13
"01/31/1941",124.13
"02/28/1941",121.97
"03/31/1941",122.72
"04/30/1941",115.54
"05/31/1941",115.76
"06/30/1941",123.14
"07/31/1941",128.79
"08/30/1941",127.7
"09/30/1941",126.82
"10/31/1941",117.82
"11/29/1941",114.23
"12/31/1941",110.96
"01/31/1942",109.11
"02/28/1942",106.79
"03/31/1942",99.53
"04/30/1942",95.35
"05/29/1942",100.88
"06/30/1942",103.34
"07/31/1942",105.72
"08/31/1942",106.33
"09/30/1942",109.11
"10/31/1942",114.07
"11/30/1942",114.5
"12/31/1942",119.4
"01/30/1943",125.58
"02/27/1943",130.11
"03/31/1943",136.57
"04/30/1943",135.48
"05/29/1943",142.06
"06/30/1943",143.38
"07/31/1943",135.95
"08/31/1943",136.62
"09/30/1943",140.12
"10/30/1943",138.27
"11/30/1943",129.57
"12/31/1943",135.89
"01/31/1944",137.4
"02/29/1944",136.3
"03/31/1944",138.84
"04/29/1944",136.23
"05/31/1944",142.24
"06/30/1944",148.38
"07/31/1944",146.11
"08/31/1944",146.99
"09/30/1944",146.73
"10/31/1944",146.53
"11/30/1944",147.33
"12/30/1944",152.32
"01/31/1945",153.67
"02/28/1945",160.4
"03/31/1945",154.41
"04/30/1945",165.44
"05/31/1945",168.3
"06/30/1945",165.29
"07/31/1945",162.88
"08/31/1945",174.29
"09/29/1945",181.71
"10/31/1945",186.6
"11/30/1945",191.46
"12/31/1945",192.91
"01/31/1946",204.67
"02/28/1946",190.09
"03/30/1946",199.75
"04/30/1946",206.77
"05/31/1946",212.28
"06/28/1946",205.62
"07/31/1946",201.56
"08/30/1946",189.19
"09/30/1946",172.42
"10/31/1946",169.15
"11/30/1946",169.8
"12/31/1946",177.2
"01/31/1947",180.44
"02/28/1947",178.9
"03/31/1947",177.2
"04/30/1947",170.64
"05/29/1947",169.25
"06/30/1947",177.3
"07/31/1947",183.18
"08/29/1947",178.85
"09/30/1947",177.49
"10/31/1947",181.81
"11/29/1947",179.4
"12/31/1947",181.16
"01/31/1948",175.05
"02/28/1948",167.3
"03/31/1948",177.2
"04/30/1948",180.51
"05/28/1948",190.74
"06/30/1948",189.46
"07/30/1948",181.33
"08/31/1948",181.71
"09/30/1948",178.3
"10/30/1948",188.62
"11/30/1948",171.2
"12/31/1948",177.3
"01/31/1949",179.12
"02/28/1949",173.06
"03/31/1949",177.1
"04/30/1949",174.16
"05/31/1949",168.36
"06/30/1949",167.42
"07/29/1949",175.92
"08/31/1949",178.66
"09/30/1949",182.51
"10/31/1949",189.54
"11/30/1949",191.55
"12/31/1949",200.13
"01/31/1950",201.79
"02/28/1950",203.44
"03/31/1950",206.05
"04/29/1950",214.33
"05/31/1950",223.42
"06/30/1950",209.11
"07/31/1950",209.4
"08/31/1950",216.87
"09/29/1950",226.36
"10/31/1950",225.01
"11/30/1950",227.6
"12/30/1950",235.41
"01/31/1951",248.83
"02/28/1951",252.05
"03/31/1951",247.94
"04/30/1951",259.13
"05/31/1951",249.65
"06/29/1951",242.64
"07/31/1951",257.86
"08/31/1951",270.25
"09/28/1951",271.16
"10/31/1951",262.35
"11/30/1951",261.27
"12/31/1951",269.23
"01/31/1952",270.69
"02/29/1952",260.08
"03/31/1952",269.46
"04/30/1952",257.63
"05/29/1952",262.94
"06/30/1952",274.26
"07/31/1952",279.56
"08/29/1952",275.04
"09/30/1952",270.61
"10/31/1952",269.23
"11/28/1952",283.66
"12/31/1952",291.9
"01/30/1953",289.77
"02/27/1953",284.27
"03/31/1953",279.87
"04/30/1953",274.75
"05/29/1953",272.28
"06/30/1953",268.26
"07/31/1953",275.38
"08/31/1953",261.22
"09/30/1953",264.04
"10/30/1953",275.81
"11/30/1953",281.37
"12/31/1953",280.9
"01/29/1954",292.39
"02/26/1954",294.54
"03/31/1954",303.51
"04/30/1954",319.33
"05/28/1954",327.49
"06/30/1954",333.53
"07/30/1954",347.92
"08/31/1954",335.8
"09/30/1954",360.46
"10/29/1954",352.14
"11/30/1954",386.77
"12/31/1954",404.39
"01/31/1955",408.83
"02/28/1955",411.87
"03/31/1955",409.7
"04/29/1955",425.65
"05/31/1955",424.86
"06/30/1955",451.38
"07/29/1955",465.85
"08/31/1955",468.18
"09/30/1955",466.62
"10/31/1955",454.87
"11/30/1955",483.26
"12/30/1955",488.4
"01/31/1956",470.74
"02/29/1956",483.65
"03/29/1956",511.79
"04/30/1956",516.12
"05/31/1956",478.05
"06/29/1956",492.78
"07/31/1956",517.81
"08/31/1956",502.04
"09/28/1956",475.25
"10/31/1956",479.85
"11/30/1956",472.78
"12/31/1956",499.47
"01/31/1957",479.16
"02/28/1957",464.62
"03/29/1957",474.81
"04/30/1957",494.36
"05/31/1957",504.93
"06/28/1957",503.29
"07/31/1957",508.52
"08/30/1957",484.35
"09/30/1957",456.3
"10/31/1957",441.04
"11/29/1957",449.87
"12/31/1957",435.69
"01/31/1958",450.02
"02/28/1958",439.92
"03/31/1958",446.76
"04/30/1958",455.86
"05/29/1958",462.7
"06/30/1958",478.18
"07/31/1958",502.99
"08/29/1958",508.63
"09/30/1958",532.09
"10/31/1958",543.22
"11/28/1958",557.46
"12/31/1958",583.65
"01/30/1959",593.96
"02/27/1959",603.5
"03/31/1959",601.71
"04/30/1959",623.75
"05/29/1959",643.79
"06/30/1959",643.6
"07/31/1959",674.88
"08/31/1959",664.41
"09/30/1959",631.68
"10/30/1959",646.6
"11/30/1959",659.18
"12/31/1959",679.36
"01/29/1960",622.62
"02/29/1960",630.12
"03/31/1960",616.59
"04/29/1960",601.7
"05/31/1960",625.5
"06/30/1960",640.62
"07/29/1960",616.73
"08/31/1960",625.99
"09/30/1960",580.14
"10/31/1960",580.36
"11/30/1960",597.22
"12/30/1960",615.89
"01/31/1961",648.2
"02/28/1961",662.08
"03/30/1961",676.63
"04/28/1961",678.71
"05/31/1961",696.72
"06/30/1961",683.96
"07/31/1961",705.37
"08/31/1961",719.94
"09/29/1961",701.21
"10/31/1961",703.92
"11/30/1961",721.6
"12/29/1961",731.14
"01/31/1962",700
"02/28/1962",708.05
"03/30/1962",706.95
"04/30/1962",665.33
"05/31/1962",613.36
"06/29/1962",561.28
"07/31/1962",597.93
"08/31/1962",609.18
"09/28/1962",578.98
"10/31/1962",589.77
"11/30/1962",649.3
"12/31/1962",652.1
"01/31/1963",682.85
"02/28/1963",662.94
"03/29/1963",682.52
"04/30/1963",717.7
"05/31/1963",726.96
"06/28/1963",706.88
"07/31/1963",695.43
"08/30/1963",729.32
"09/30/1963",732.79
"10/31/1963",755.23
"11/29/1963",750.52
"12/31/1963",762.95
"01/31/1964",785.34
"02/28/1964",800.14
"03/31/1964",813.29
"04/30/1964",810.77
"05/28/1964",820.56
"06/30/1964",831.5
"07/31/1964",841.1
"08/31/1964",838.48
"09/30/1964",875.37
"10/30/1964",873.08
"11/30/1964",875.43
"12/31/1964",874.13
"01/29/1965",902.86
"02/26/1965",903.48
"03/31/1965",889.05
"04/30/1965",922.31
"05/28/1965",918.04
"06/30/1965",868.03
"07/30/1965",881.74
"08/31/1965",893.1
"09/30/1965",930.58
"10/29/1965",960.82
"11/30/1965",946.71
"12/31/1965",969.26
"01/31/1966",983.51
"02/28/1966",951.89
"03/31/1966",924.77
"04/29/1966",933.68
"05/31/1966",884.07
"06/30/1966",870.1
"07/29/1966",847.38
"08/31/1966",788.41
"09/30/1966",774.22
"10/31/1966",807.07
"11/30/1966",791.59
"12/30/1966",785.69
"01/31/1967",849.89
"02/28/1967",839.37
"03/31/1967",865.98
"04/28/1967",897.05
"05/31/1967",852.56
"06/30/1967",860.26
"07/31/1967",904.24
"08/31/1967",901.29
"09/29/1967",926.66
"10/31/1967",879.74
"11/30/1967",875.81
"12/29/1967",905.11
"01/31/1968",855.47
"02/29/1968",840.5
"03/29/1968",840.67
"04/30/1968",912.22
"05/31/1968",899
"06/28/1968",897.8
"07/30/1968",883
"08/30/1968",896.01
"09/30/1968",935.79
"10/31/1968",952.39
"11/29/1968",985.08
"12/31/1968",943.75
"01/31/1969",946.05
"02/28/1969",905.21
"03/28/1969",935.48
"04/30/1969",950.18
"05/29/1969",937.56
"06/30/1969",873.19
"07/31/1969",815.47
"08/29/1969",836.72
"09/30/1969",813.09
"10/31/1969",855.99
"11/28/1969",812.3
"12/31/1969",800.36
"01/30/1970",744.06
"02/27/1970",777.59
"03/31/1970",785.57
"04/30/1970",736.07
"05/29/1970",700.44
"06/30/1970",683.53
"07/31/1970",734.12
"08/31/1970",764.58
"09/30/1970",760.68
"10/30/1970",755.61
"11/30/1970",794.09
"12/31/1970",838.92
"01/29/1971",868.5
"02/26/1971",878.83
"03/31/1971",904.37
"04/30/1971",941.75
"05/28/1971",907.81
"06/30/1971",891.14
"07/30/1971",858.43
"08/31/1971",898.07
"09/30/1971",887.19
"10/29/1971",839
"11/30/1971",831.34
"12/31/1971",890.2
"01/31/1972",902.17
"02/29/1972",928.13
"03/30/1972",940.7
"04/28/1972",954.17
"05/31/1972",960.72
"06/30/1972",929.03
"07/31/1972",924.74
"08/31/1972",963.73
"09/29/1972",953.27
